Added,Title,Title Short,Series,Book Numbers,Blurb,Authors,Narrators,Tags,Categories,Parent Category,Child Category,Length,Progress,Release Date,Publishers,My Rating,Rating,Ratings,Favorite,Format,Language,Whispersync,From Plus Catalog,Unavailable,Archived,Downloaded,Store Page Changed,Store Page Missing,ASIN,ISBN10,ISBN13,Summary,People Also Bought,Store Page Url,Sample,Web Player,Cover,Search In Goodreads,Subtitle,Collection Ids
58,The Unusual Billionaires,The Unusual Billionaires,,,"What makes a company truly outstanding? What is the secret sauce of delivering successful results year-on-year? What is common to Asian Paints, HDFC Bank, Marico, Axis Bank, Hindustan Unilever and Berger Paints? They are Unusual Companies, built by Unusual Billionaires. The Unusual Billionaires...",Saurabh Mukherjea,Gaurav Marwa,"Business Leaders, Economics, Professionals & Academics",Biographies & Memoirs > Professionals & Academics,Biographies & Memoirs,Professionals & Academics,9h 12m,,2019-06-25,Random House Audio,,4.4,537,,Unabridged Audiobook,English,,,,,,,,0143495488,,,"What makes a company truly outstanding? <br>What is the secret sauce of delivering successful results year-on-year?<br>What is common to Asian Paints, HDFC Bank, Marico, Axis Bank, Hindustan Unilever and Berger Paints?<br>They are Unusual Companies, built by Unusual Billionaires. The Unusual Billionaires tells the story of eight, truly outstanding companies which delivered 10 per cent revenue growth over the last ten years and 15 per cent return on capital employed. In simple words, these companies defeated 5000 other public listed companies to deliver high growth while maintaining profitability year-on-year for the last decade. How did these companies do it? Why couldn’t this be reciprocated by other companies? What are they doing differently?<br>Saurabh Mukherjea, bestselling author of Gurus of Chaos, delivers an outstanding book with lessons to learn from these eight businesses. Mukherjea tells you why focusing on the core business could save a company’s life or how giving control to top management could be a boon. Packed with these learnings are riveting corporate stories of how Hindustan Unilever made aggressive bids to buy Mariwala’s business, but had to sell it to the same company in a few years, or how Page Industries found an exciting way to stop unionization at their manufacturing units. It also includes the turnaround of Axis Bank and the boardroom coup that led to its chairman’s downfall, and how Vijay Mallya lost control of Asian Paints to the Dhingra Brothers. <br>These and many more makes this book a mandatory read for all corporate leaders to simulate and implement.",,https://audible.in/pd/0143495488?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=0143495488,https://m.media-amazon.com/images/I/41BercqW4OL._SL500_.jpg,https://www.goodreads.com/search?q=Saurabh%20Mukherjea%20-%20The%20Unusual%20Billionaires,,
57,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,The Hard Thing About Hard Things,,,"Ben Horowitz, cofounder of Andreessen Horowitz and one of Silicon Valley's most respected and experienced entrepreneurs, offers essential advice on building and running a startup—practical wisdom for managing the toughest problems business school doesn’t cover, based on his popular ben’s...",Ben Horowitz,Kevin Kenerly,"Communication & Social Skills, Decision-Making & Problem Solving, Leadership, Management, Management & Leadership, New Business Enterprises, Personal Success, Self-Help, Small Business & Entrepreneurship",Business & Careers > Management & Leadership,Business & Careers,Management & Leadership,7h 57m,,2014-03-04,HarperAudio,,4.7,716,,Unabridged Audiobook,English,,,,,,,,B079TJQQJ4,,,"<p>Ben Horowitz, cofounder of Andreessen Horowitz and one of Silicon Valley's most respected and experienced entrepreneurs, offers essential advice on building and running a startup—practical wisdom for managing the toughest problems business school doesn’t cover, based on his popular ben’s blog.</p><p>While many people talk about how great it is to start a business, very few are honest about how difficult it is to run one. Ben Horowitz analyzes the problems that confront leaders every day, sharing the insights he’s gained developing, managing, selling, buying, investing in, and supervising technology companies. A lifelong rap fanatic, he amplifies business lessons with lyrics from his favorite songs, telling it straight about everything from firing friends to poaching competitors, cultivating and sustaining a CEO mentality to knowing the right time to cash in.</p><p>Filled with his trademark humor and straight talk, <em>The Hard Thing About Hard Things</em> is invaluable for veteran entrepreneurs as well as those aspiring to their own new ventures, drawing from Horowitz's personal and often humbling experiences.</p>",,https://audible.in/pd/B079TJQQJ4?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B079TJQQJ4,https://m.media-amazon.com/images/I/51j1P236E3L._SL500_.jpg,https://www.goodreads.com/search?q=Ben%20Horowitz%20-%20The%20Hard%20Thing%20About%20Hard%20Things,Building a Business When There Are No Easy Answers,
56,Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,Blue Ocean Strategy,,,"Challenging everything you thought you knew, W. Chan Kim and Renee Mauborgne assert that tomorrow's leading companies will succeed by creating ""blue oceans"" of untapped new market spaces....","W. Chan Kim, Renée Mauborgne",Grover Gardner,"Decision-Making & Problem Solving, Economics, Forecasting & Strategic Planning, Investing & Trading, Management, Management & Leadership, Marketing, Marketing & Sales, Personal Success",Business & Careers > Management & Leadership,Business & Careers,Management & Leadership,6h 27m,,2006-07-28,Ascent Audio,,4.6,175,,Unabridged Audiobook,English,,true,true,,,,,B07813X85Z,,,"Winning by <i>not</i> competing! This international best seller upends traditional thinking with principles and tools to make the competition irrelevant. <p> In an audiobook that challenges everything you thought you knew, W. Chan Kim and Renee Mauborgne assert that tomorrow's leading companies will succeed, not by battling their rivals for market share in the bloody ""red ocean"" of a shrinking profit pool, but by creating ""blue oceans"" of untapped new market spaces ripe for growth.</p> <p> Based on a study of 150 strategic moves, spanning more than 100 years and 30 industries, they provide a systematic approach that every company can use to render rivals obsolete and unleash new demand:<br></p> <li> Reconstruct market boundaries</li> <li> Focus on the big picture</li> <li> Reach beyond existing demand</li> <li> Get the strategic sequence right</li> <li> Overcome organizational hurdles</li> <li> Build execution into strategy </li>",,https://audible.in/pd/B07813X85Z?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B07813X85Z,https://m.media-amazon.com/images/I/61yaPFgCeNL._SL500_.jpg,https://www.goodreads.com/search?q=W.%20Chan%20Kim%20-%20Blue%20Ocean%20Strategy,How to Create Uncontested Market Space and Make the Competition Irrelevant,__AYCL
55,This Is Marketing: You Can’t Be Seen Until You Learn to See,This Is Marketing,,,"For the first time Seth Godin offers the core of his marketing wisdom in one compact, accessible, timeless package....",Seth Godin,Seth Godin,"Advertising, Creativity, E-Commerce, Marketing, Marketing & Sales, Public Relations, Self-Help",Business & Careers > Marketing & Sales,Business & Careers,Marketing & Sales,7h 2m,,2018-11-13,Penguin Audio,,4.2,228,,Unabridged Audiobook,English,,,,,,,,B07JZ3NY5Q,,,"<p><b>Brought to you by Penguin.</b><br> <b><br> *</b><b><i>Narrated by Seth Godin</i></b><b>*</b><br> <b><br> #1</b><b><i> Wall Street Journal</i></b><b> Bestseller &amp; Instant </b><b><i>New York Times </i></b><b>Bestseller<br> <br> A game-changing approach to marketing, sales, and advertising. </b><br> <br> For the first time Seth Godin offers the core of his marketing wisdom in one compact, accessible, timeless package. <i>This is Marketing</i> shows you how to do work you're proud of, whether you're a tech startup founder, a small business owner, or part of a large corporation. <br> <br> No matter what your product or service, this audiobook will help you reframe how it's presented to the world, in order to meaningfully connect with people who want it. Seth employs his signature blend of insight, observation, and memorable examples to teach you:<br> <br> <b>*</b> <b>How to build trust and permission with your target market.<br> * The art of positioning--deciding not only who it's for, but who it's not for.<br> * Why the best way to achieve your goals is to help others become who they want to be.<br> * Why the old approaches to advertising and branding no longer work. <br> * The surprising role of tension in any decision to buy (or not).<br> * How marketing is at its core about the stories we tell ourselves about our social status.<br> </b><br> You can do work that matters for people who care. This audiobook shows you the way.<br> <br> ""This Is Marketing is a very accessible way into Godin's thinking.... Godin writes in pacy, jargon-free prose and this book is interesting and useful for anyone who wants an insight into how, and why, we buy things or change our habits in any way."" - The Financial Times<br> <br> If you enjoyed listening to this, check out Seth Godin's <i>Purple Cow, </i>a true business classic.</p>","Linchpin, Purple Cow, The Dip, All Marketers Are Liars",https://audible.in/pd/B07JZ3NY5Q?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B07JZ3NY5Q,https://m.media-amazon.com/images/I/414PVW+qU7L._SL500_.jpg,https://www.goodreads.com/search?q=Seth%20Godin%20-%20This%20Is%20Marketing,You Can’t Be Seen Until You Learn to See,
54,A Short History of Nearly Everything,A Short History of Nearly Everything,,,A Radio 4 Book Club Selection. A Short History of Nearly Everything is Bill Bryson's fascinating and humorous quest to understand everything that has happened from the Big Bang to the rise of civilization....,Bill Bryson,William Roberts,"Earth Sciences, Nature & Ecology, Physics, Science, World",History > World,History,World,18h 59m,,2004-12-26,Audible Studios,,4.7,751,,Unabridged Audiobook,English,,,,,,,,B07B66CV71,,,"<p><b>Featuring a special introduction written for the audiobook edition and read by the author</b></p> <p><b>A Radio 4 Book Club Selection.</b></p> <p><i>A Short History of Nearly Everything</i> is Bill Bryson's fascinating and humorous quest to understand everything that has happened from the Big Bang to the rise of civilization. He takes subjects that normally bore the pants off most of us, like geology, chemistry, and particle physics, and aims to render them comprehensible to people who have never thought they could be interested in science. In the company of some extraordinary scientists, Bill Bryson reveals the world in a way most of us have never seen it before.</p> <p></p>","The Body, A Short History of Nearly Everything 2.0, A Walk in the Woods, A Walk in the Woods, Neither Here nor There, Made in America, Down Under, The Lost Continent, The Road to Little Dribbling, At Home: A Short History of Private Life, Notes From a Small Island, Shakespeare, The Life & Times of the Thunderbolt Kid, The Mother Tongue, Journeys in English, Neither Here Nor There",https://audible.in/pd/B07B66CV71?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B07B66CV71,https://m.media-amazon.com/images/I/61iO6AVIZ-L._SL500_.jpg,https://www.goodreads.com/search?q=Bill%20Bryson%20-%20A%20Short%20History%20of%20Nearly%20Everything,,
53,Where Good Ideas Come From: The Natural History of Innovation,Where Good Ideas Come From,,,"One of our most innovative, popular thinkers takes on-in exhilarating style-one of our key questions: Where do good ideas come from?...",Steven Johnson,Erik Singer,"Creativity & Genius, History & Culture, Motivation & Self-Improvement, Personal Success, Psychology, Psychology & Mental Health",Business & Careers > Personal Success,Business & Careers,Personal Success,7h 10m,,2010-10-05,Penguin Audio,,4.7,49,,Unabridged Audiobook,English,,,,,,,,B079TLKLB9,,,"One of our most innovative, popular thinkers takes on-in exhilarating style-one of our key questions: <i>Where do good ideas come from?</i>",,https://audible.in/pd/B079TLKLB9?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B079TLKLB9,https://m.media-amazon.com/images/I/51YRwtRNnpL._SL500_.jpg,https://www.goodreads.com/search?q=Steven%20Johnson%20-%20Where%20Good%20Ideas%20Come%20From,The Natural History of Innovation,
52,"How to Get Paid for What You Know: Turning Your Knowledge, Passion, and Experience into an Online Income Stream in Your Spare Time",How to Get Paid for What You Know,,,"Your knowledge, passions, and skills can be transformed into a lucrative income stream that requires no college degree, zero employees, and less than $50 to get started. Whether it takes shape as a full-fledged business, a side hustle, or automated earnings is up to you....",Graham Cochrane,Graham Cochrane,"Entrepreneurship, Personal Success, Small Business & Entrepreneurship, Time Management & Productivity",Business & Careers > Small Business & Entrepreneurship,Business & Careers,Small Business & Entrepreneurship,6h 12m,,2022-03-24,BenBella Books,,5,3,,Unabridged Audiobook,English,,,,,,,,B09WCQ6YX6,,,"<p><b>You may not know it, but you are sitting on a goldmine.</b> </p> <p><b>Your knowledge, passions, and skills can be transformed into a lucrative income stream that requires no college degree, zero employees, and less than $50 to get started. Whether it takes shape as a full-fledged business, a side hustle, or automated earnings is up to you!</b></p> <p>Before you can monetize what you know, you’ll need to learn the dynamics of the knowledge economy. </p> <p>There’s no one better to teach you than Graham Cochrane—business coach, YouTuber, and founder of The Recording Revolution, a once no-name blog about music turned 7-figure business that requires fewer than 5 hours per week of work. </p> <p>With <i>How to Get Paid for What You Know</i>, he provides a proven 6-step system for turning your ideas, skills, and passions into an income stream that puts money in your bank account day and night, whether you’re working or not. In this book, you’ll learn how to: </p> <p></p> <ul> <li>Discover your idea and ensure it will be profitable.</li> <li>Build an audience.</li> <li>Package your knowledge into a highly desirable digital product.</li> <li>Sell online in an authentic and ethical way.</li> <li>Leverage simple online tools to market your product.</li> <li>Automate the entire process so that income flows to you even when you’re not working.</li> </ul> <p>Follow these steps and you’ll be well on your way to creating better stability in your income and finding more fulfillment in your work and, ultimately, your life. </p> <p><i>How to Get Paid for What You </i>Know is your essential guide to a new and better way to make a living.</p> <p><b>PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio. </b></p>",,https://audible.in/pd/B09WCQ6YX6?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B09WCQ6YX6,https://m.media-amazon.com/images/I/51jt4VwUFTL._SL500_.jpg,https://www.goodreads.com/search?q=Graham%20Cochrane%20-%20How%20to%20Get%20Paid%20for%20What%20You%20Know,"Turning Your Knowledge, Passion, and Experience into an Online Income Stream in Your Spare Time",
51,Made to Stick: Why Some Ideas Survive and Others Die,Made to Stick,,,"NEW YORK TIMES BESTSELLER The instant classic about why some ideas thrive, why others die, and how to make your ideas stick. “Anyone interested in influencing others—to buy, to vote, to learn, to diet, to give to charity or to start a revolution—can learn from this book.”—The...","Chip Heath, Dan Heath",Charles Kahlenberg,"Business Communication, Epistemology, Personal Success, Philosophy, Psychology, Psychology & Mental Health, Self-Help, Social Psychology & Interactions, Success",Politics & Social Sciences > Philosophy,Politics & Social Sciences,Philosophy,8h 37m,,2007-01-09,Random House Audio,,4.5,139,,Unabridged Audiobook,English,,,,,,,,B079TNM372,,,"<b><i>NEW YORK TIMES </i>BESTSELLER • The instant classic about why some ideas thrive, why others die, and how to make your ideas stick.<br><br><b>“Anyone interested in influencing others—to buy, to vote, to learn, to diet, to give to charity or to start a revolution—can learn from this book.”—<i>The Washington Post</i></b></b><br> <br> Mark Twain once observed, “A lie can get halfway around the world before the truth can even get its boots on.” His observation rings true: Urban legends, conspiracy theories, and bogus news stories circulate effortlessly. Meanwhile, people with important ideas—entrepreneurs, teachers, politicians, and journalists—struggle to make them “stick.” <br><br> In <i>Made to Stick</i>, Chip and Dan Heath reveal the anatomy of ideas that stick and explain ways to make ideas stickier, such as applying the human scale principle, using the Velcro Theory of Memory, and creating curiosity gaps. Along the way, we discover that sticky messages of all kinds—from the infamous “kidney theft ring” hoax to a coach’s lessons on sportsmanship to a vision for a new product at Sony—draw their power from the same six traits.<br><br> <i>Made to Stick</i> will transform the way you communicate. It’s a fast-paced tour of success stories (and failures): the Nobel Prize-winning scientist who drank a glass of bacteria to prove a point about stomach ulcers; the charities who make use of the Mother Teresa Effect; the elementary-school teacher whose simulation actually prevented racial prejudice.<br> <br> Provocative, eye-opening, and often surprisingly funny, <i>Made to Stick</i> shows us the vital principles of winning ideas—and tells us how we can apply these rules to making our own messages stick.",,https://audible.in/pd/B079TNM372?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B079TNM372,https://m.media-amazon.com/images/I/51fhNaNM87L._SL500_.jpg,https://www.goodreads.com/search?q=Chip%20Heath%20-%20Made%20to%20Stick,Why Some Ideas Survive and Others Die,
50,Effortless: Make It Easier to Do What Matters Most,Effortless,,,Brought to you by Penguin. From the internationally best-selling author of Essentialism comes a guide to making the most important tasks effortless. The intricacy of modern life has created a false dichotomy between things that are 'hard and important' and those that are 'easy and trivial'...,Greg McKeown,Greg McKeown,"Forecasting & Strategic Planning, Management & Leadership, Mentoring & Coaching, Personal Success, Time Management & Productivity",Business & Careers > Management & Leadership,Business & Careers,Management & Leadership,6h 2m,,2021-04-27,Penguin Audio,,4.7,140,,Unabridged Audiobook,English,,,,,,,,0753559137,,,"<p><b>Brought to you by Penguin. </b></p> <p><b>From the internationally best-selling author of </b><b><i>Essentialism </i></b><b>comes a guide to making the most important tasks effortless. </b></p> <p>The intricacy of modern life has created a false dichotomy between things that are 'hard and important' and those that are 'easy and trivial'. Everything has become so much harder than it ought to be. But, Greg McKeown, best-selling author of <i>Essentialism</i>, says, there is a third alternative. In <i>Effortless</i>, he offers practical strategies for making the most vital tasks the easiest ones. Honed over the better part of a decade, these strategies include:</p> <p></p> <ul> <li>Asking 'What Step Can I Remove?' (accomplish more in fewer steps)</li> <li>Having the Courage to Be Rubbish (prioritise progress over perfection)</li> <li>Deciding What 'Done' Looks Like (don't keep running after you pass the finish line)</li> </ul> <p>McKeown's philosophy of essentialism has helped thousands to eliminate nonessential activities and focus on the few that really matter. Working out what is essential is the first step - making these tasks effortless is the next. <i>Effortless </i>will show you how. </p>",,https://audible.in/pd/0753559137?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=0753559137,https://m.media-amazon.com/images/I/41W1-Htc4DS._SL500_.jpg,https://www.goodreads.com/search?q=Greg%20McKeown%20-%20Effortless,Make It Easier to Do What Matters Most,
49,Mindset,Mindset,,,"In Mindset, Stanford University psychologist Carol S. Dweck, Ph.D., expands upon her famous and widely accepted theory of the importance of mindset in success. Critics have praised Dweck’s book as life-changing....",Carol Dweck,Carol Dweck,"Self-Help, Success",Parenting & Relationships > Self-Help,Parenting & Relationships,Self-Help,8h 34m,,2021-09-03,CarolDweck Publsiher,,4.5,155,,Unabridged Audiobook,English,,,,,,,,B09F2HFW13,,,"<p><i>Mindset </i>by Carol S. Dweck. Conversation starters.</p> <p>In <i>Mindset</i>, Stanford University psychologist Carol S. Dweck, Ph.D., expands upon her famous and widely accepted theory of the importance of mindset in success. Critics have praised Dweck’s book as life-changing. Its focus on both self-motivation and the inspiration of others makes it a compelling listen. Decades of research contributed to the book, which focuses on the importance of outlook in achieving success in any field. From managers and teachers to athletes and parents, Dweck explains the fundamentals of mindset in affecting success and growth.</p> <p><i>Mindset </i>has been lauded by both literary critics and academics alike. Its transformative approach to bettering oneself and others makes it a must-rlisten for both the layperson and those tasked with overseeing others. As many of Dweck’s supporters describe, it is a novel “everyone should read”. Dweck’s use of anecdotes in conjunction with research and data makes for a pleasant and enjoyablelisten.</p> <p>A brief look inside:</p> <p>Every good book contains a world far deeper than the surface of its pages. The characters and their world come alive, and the characters and its world still live on. Conversation starters is peppered with questions designed to bring us beneath the surface of the page and invite us into the world that lives on. These questions can be used to...</p> <p>Create hours of conversation:</p> <ul> <li>Foster a deeper understanding of the audiobook</li> <li>Promote an atmosphere of discussion for groups</li> <li>Assist<b> </b>in the study of the audiobook, either individually or corporately</li> <li>Explore unseen realms of the audiobook as never seen before</li> </ul>",,https://audible.in/pd/B09F2HFW13?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B09F2HFW13,https://m.media-amazon.com/images/I/51AAGesaG8L._SL500_.jpg,https://www.goodreads.com/search?q=Carol%20Dweck%20-%20Mindset,,
48,This Is Your Brain on Music: Understanding a Human Obsession,This Is Your Brain on Music,,,"Using musical examples from Bach to the Beatles, Levitin reveals the role of music in human evolution, shows how our musical preferences begin to form even before we are born and explains why music can offer such an emotional experience....",Daniel Levitin,Daniel Levitin,"Instruction & Technique, Music",Arts & Entertainment > Music,Arts & Entertainment,Music,11h 46m,,2020-02-20,Penguin Audio,,4.4,5,,Unabridged Audiobook,English,,,,,,,,B07XTGVV3P,,,"<p><b>Brought to you by Penguin. </b></p> <p>Using musical examples from Bach to the Beatles, Levitin reveals the role of music in human evolution, shows how our musical preferences begin to form even before we are born and explains why music can offer such an emotional experience. </p> <p>Music is an obsession at the heart of human nature, even more fundamental to our species than language. In <i>This Is Your Brain on Music</i> Levitin offers nothing less than a new way to understand it and its role in human life. </p>",,https://audible.in/pd/B07XTGVV3P?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B07XTGVV3P,https://m.media-amazon.com/images/I/41EoNlN8GCL._SL500_.jpg,https://www.goodreads.com/search?q=Daniel%20Levitin%20-%20This%20Is%20Your%20Brain%20on%20Music,Understanding a Human Obsession,
47,Meditations,Meditations,,,"One of the most significant books ever written by a head of state, the Meditations are a collection of philosophical thoughts by the Emperor Marcus Aurelius....","Marcus Aurelius, George Long - translator, Duncan Steen - translator",Duncan Steen,"Greek & Roman, History, Philosophy",Politics & Social Sciences > Philosophy,Politics & Social Sciences,Philosophy,5h 9m,,2011-01-07,Naxos AudioBooks,,4.4,145,,Unabridged Audiobook,English,,true,true,,,,,B079VFP28K,,,"<p>One of the most significant books ever written by a head of state, the <i>Meditations</i> are a collection of philosophical thoughts by the Emperor Marcus Aurelius (121-180 ce). Covering issues such as duty, forgiveness, brotherhood, strength in adversity and the best way to approach life and death, the <i>Meditations</i> have inspired thinkers, poets and politicians since their first publication more than 500 years ago. Today, the book stands as one of the great guides and companions—a cornerstone of Western thought.</p> <p>Translation by George Long revised by Duncan Steen.</p> <p><b>PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio.</b></p>","50+ Classic Collection. Political Science, 600 Quotes of Ancient Philosophy, The Ultimate Stoicism Collection, 50+ Self-Help Classics Collection",https://audible.in/pd/B079VFP28K?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B079VFP28K,https://m.media-amazon.com/images/I/51mlbBH0A9L._SL500_.jpg,https://www.goodreads.com/search?q=Marcus%20Aurelius%20-%20Meditations,,__AYCL
46,Hooked: How to Build Habit-Forming Products,Hooked: How to Build Habit-Forming Products,,,"Why do some products capture our attention, while others flop? What makes us engage with certain products out of habit? Is there a pattern underlying how technologies hook us? This audiobook introduces listeners to the ""Hooked Model""....","Nir Eyal, Ryan Hoover",Nir Eyal,"Consumer Behaviour & Market Research, Marketing & Sales",Business & Careers > Marketing & Sales,Business & Careers,Marketing & Sales,4h 40m,,2014-01-22,Nir Eyal,,4.6,534,,Unabridged Audiobook,English,,,,,,,,B079TLX3QQ,,,"<p><b>Note to Audible Listeners: As of December 2019, this version of the </b><b><i>Hooked </i></b><b>audiobook has been revised and rerecorded to greatly improve audio quality. Please disregard any reviews mentioning poor audio quality prior to December 2019.</b></p> <p>Why do some products capture our attention, while others flop? What makes us engage with certain products out of habit? Is there a pattern underlying how technologies hook us? This audiobook introduces listeners to the ""Hooked Model"", a four-step process companies use to build customer habits. Through consecutive cycles through the hook, successful products reach their ultimate goal of bringing users back repeatedly - without depending on costly advertising or aggressive messaging.</p> <p><i>Hooked </i>is a guide to building products people use because they want to, not because they have to. Written for product managers, designers, marketers, startup founders, and people eager to learn more about the things that control our behaviors, this audiobook gives listeners:</p> <p></p> <ul> <li>Practical insights to create user habits that stick.</li> <li>Actionable steps for building products people love.</li> <li>Behavioral techniques used by Twitter, Instagram, Pinterest, and other habit-forming products.</li> <li><b>New </b>for second edition! An additional case study for building health habits.</li> </ul> <p>Nir Eyal distilled years of research, consulting, and practical experience to write a manual for creating habit-forming products. Nir has taught at the Stanford Graduate School of Business and Hasso Plattner Institute of Design. His writing on technology, psychology, and business appears in the <i>Harvard Business Review</i>, <i>The Atlantic</i>, <i>TechCrunch</i>, and <i>Psychology Today</i>. He is also the author of <i>Indistractable: How to Control Your Attention and Choose Your Life</i>.</p>",,https://audible.in/pd/B079TLX3QQ?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B079TLX3QQ,https://m.media-amazon.com/images/I/51o-DT4Z33L._SL500_.jpg,https://www.goodreads.com/search?q=Nir%20Eyal%20-%20Hooked%3A%20How%20to%20Build%20Habit-Forming%20Products,,
45,The Psychology of Selling: The Art of Closing Sales,The Psychology of Selling,Nightingale-Conant: Sales Training (book ),∞,How would you like to triple your income in just 12 months?...,Brian Tracy,Brian Tracy,"Marketing & Sales, Sales",Business & Careers > Marketing & Sales,Business & Careers,Marketing & Sales,"5h 19m ",Finished,2014-10-14,Nightingale-Conant,,4.7,256,,Unabridged Audiobook,English,,,,,,,,B079CN1R54,,,"<p><b>With Brian Tracy’s <i>The Psychology of Selling</i> you will learn how to program yourself for success.</b> </p> <p>How would you like to triple your income in just 12 months? </p> <p>That’s the incredible promise legendary sales mastermind Brian Tracy makes in this “graduate level” sales training program <i>The Psychology of Selling</i> - one of the best, most comprehensive programs of its kind ever produced. </p> <p>“Selling is an inner game,” Brian states, “and the difference between top performers and average ones is not as great as you might think. Top performers just do certain things a little bit better each day.” In these 12 sessions you’ll learn the field-tested techniques that will give <i>you</i> that critical edge, so you can blow the roof off your closing rate and your commissions. In this landmark program, you’ll discover: </p> <p></p> <ul> <li>Why the top 20 percent of salespeople earn 16 times the average of the rest. </li> <li>The 10 characteristics of superior salespeople. </li> <li>The psychology of buying. </li> <li>How to break a prospect’s preoccupation. </li> <li>Why goal setting is a key to sales success. </li> <li>Six ways to increase effectiveness. </li> <li>How to deal with a prospect’s nine most common objections. </li> <li>The Law of Six and how it can help you. </li> <li>And so much more! </li> </ul> <p></p>","The Power of Discipline, No Excuses!, Achieve Any Goal, Master Your Time, Master Your Life, Goals!, Reinvention, Lakshya (Hindi Edition), Master Your Time, Master Your Life (Tamil Edition), The Mindset of Top Salespeople, Getting Rich in America, The Ultimate Brian Tracy Library, Change Your Thinking, Change Your Life, The Power of Charisma, Start Your Own Business, Unstoppable, 10 Ways to Live a Wonderful Life, 21 Great Ways to Live to Be 100",https://audible.in/pd/B079CN1R54?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B079CN1R54,https://m.media-amazon.com/images/I/51Vuhd+eLJL._SL500_.jpg,https://www.goodreads.com/search?q=Brian%20Tracy%20-%20The%20Psychology%20of%20Selling,The Art of Closing Sales,
44,Rich Dad's Cashflow Quadrant: Guide to Financial Freedom,Rich Dad's Cashflow Quadrant,Rich Dad Series (book ),∞,"Rich Dad’s CASHFLOW Quadrant is a guide to financial freedom. It’s the second book in the Rich Dad Series and reveals how some people work less, earn more, pay less in taxes, and learn to become financially free....",Robert T. Kiyosaki,Tim Wheeler,Personal Finance,Money & Finance > Personal Finance,Money & Finance,Personal Finance,8h 48m,,2012-01-01,Brilliance Audio,,4.8,422,,Unabridged Audiobook,English,,,,,,,,B079TK1T2J,,,"<p><i>Rich Dad’s CASHFLOW Quadrant</i> is a guide to financial freedom. It’s the second book in the Rich Dad Series and reveals how some people work less, earn more, pay less in taxes, and learn to become financially free.</p> <p><i>CASHFLOW Quadrant</i> was written for those who are ready to move beyond job security and enter the world of financial freedom. It’s for those who want to make significant changes in their lives and take control of their financial future.</p> <p>Robert believes that the reason most people struggle financially is because they've spent years in school but were never taught about money. Robert’s rich dad taught him that this lack of financial education is why so many people work so hard all their lives for money...instead of learning how to make money work for them.</p> <p>This book will change the way you think about jobs, careers, and owning your own business and inspire you to learn the rules of money that the rich use to build and grow their wealth.</p>","Rich Dad Poor Dad, Rich Dad Poor Dad (Hindi Edition), Guide to Investing in Gold and Silver, The Real Book of Real Estate, Unfair Advantage, The Ultimate Rich Dad Library, Why the Rich Are Getting Richer, Expert Secrets",https://audible.in/pd/B079TK1T2J?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B079TK1T2J,https://m.media-amazon.com/images/I/51GHhUwms4S._SL500_.jpg,https://www.goodreads.com/search?q=Robert%20T.%20Kiyosaki%20-%20Rich%20Dad's%20Cashflow%20Quadrant,Guide to Financial Freedom,
